Standard Name,Alias Name,Alias Name1,Alias Name2,Alias Name3,Alias Name4,Alias Name5,Alias Name6,Alias Name7,Alias Name8,Alias Name9
8773706,Segrams Vo,Segrams Vo Dbl||2,Segrams Vo Liq,,,,,,,
88076169050,Bushmil,Bushmil Double||2,Bushmil IRD,Bushmil Liquor,,,,,,
88110831288,Casa LaPosto,,,,,,,,,
88110931025,Grndman,Grndman Double||2,Grndman Liquor,,,,,,,
88352118413,Crmmnth White,Crmmnth Wht Dbl||2,Crmmnth Wht Liq,,,,,,,
88544016770,So Co,So Co Double||2,So Co W/Liq,Sothrn Cmfrt,,,,,,
88544019054,So Co,So Co Double||2,So Co W/Liq,Sothrn Cmfrt,,,,,,
892893001000,Whitely W/ Liq,Whitley Double||2,Whitley Single,,,,,,,
89540167299,Canadia Club,Canadn Club,Canadn Clubdbl||2,Canadn Clubliq,,,,,,
89540168425,Canadia Club,Canadn Club,Canadn Clubdbl||2,Canadn Clubliq,,,,,,
89540168432,Canadia Club,Canadn Club,Canadn Clubdbl||2,Canadn Clubliq,,,,,,
89540190112,Tiamara,Tiamara Double||2,Tiamara W/Liq,,,,,,,
89540352824,Canadia Club,Canadn Club,Canadn Clubdbl||2,Canadn Clubliq,,,,,,
89540415857,Canadia Club,Canadn Club,Canadn Clubdbl||2,Canadn Clubliq,,,,,,
89540434599,Stoli Double||2,Stoli Single,Stoli W/Liqur,Stolich naya,,,,,,
89744329608,Chrtrse Double||2,Chrtrse Green,Chrtrse Liquor,,,,,,,
89819006526,Ber White Zin Single,,,,,,,,,
Half Acre,Half Acre,Half Acre Dr,Half Acre Draft,Half Acre Draft Special,,,,,,
MillerLite,Miller Lite Draft,Miller Lite Draft(1) Pulse,Miller Lt Dr,Miller Lt Dr Bar,Miller Lt Dr ResL,Miller LtDraft,MLite Pulse,,,
SamAdamsWinter,Sam Adam Dr,Sam Adams Dr,Sam Adams Dr Bar,Sam Adams Dr ResL,Sam Adams Winter,Sam Winter,SamAdamsSeas,,,
Stella,Stella Artoi,Stella Artoi Bar,Stella Artoi ResL,Stella Artois,Stella Artois Draft,,,,,
